row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
127;4;CA;p;trees >5 cm dbh, resins use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;49.95;19.84930225;3;78.81;50.17629719;2;-0.632303805
128;4;CA;p;trees >5 cm dbh, matchstick use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;31.52;24.97617265;3;75.16;7.311484117;2;-1.52402224
129;4;CA;p;trees >5 cm dbh, box and crate use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;40.81;27.52228733;3;40.83;18.2999235;2;-0.000585762
130;4;CA;p;trees >5 cm dbh, cordage use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;0.56;1.922576396;3;23.14;5.741707063;2;-4.477208959
131;4;CA;p;trees >5 cm dbh, charcoal use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;33.51;6.39126748;3;20.59;9.418662325;2;1.246739468
132;4;CA;p;trees >5 cm dbh, fencepost use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;16.55;7.690305586;3;18.mai;6.279108217;2;-0.150460058
133;4;CA;p;trees >5 cm dbh, thatch use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;58.73;24.33531385;3;47.67;26.65792565;2;0.320038019
134;4;CA;p;trees <5 cm dbh, construction use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;2838.2;991.5990873;3;2731.3;150.1894803;2;-0.095479017
135;4;CA;p;trees <5 cm dbh, medicine use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;2149.9;240.7550623;3;2492.9;844.4269181;2;0.474547057
136;4;CA;p;trees <5 cm dbh, thatch use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;1510.7;1119.251232;3;773.9;231.3653388;2;-0.580195549
137;4;CA;p;trees <5 cm dbh, firewood use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;1182.3;85.04369465;3;1328.9;520.5720123;2;0.345636189
138;4;CA;p;trees <5 cm dbh, crafts use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;1164.8;311.5959403;3;1049.6;242.96189;2;-0.288380631
139;4;CA;p;trees <5 cm dbh, food use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;1114.5;354.2043901;3;1138.5;670.7614926;2;0.036112617
140;4;CA;p;trees <5 cm dbh, timber use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;532.6;84.87048957;3;671;393.2927917;2;0.423975925
141;4;CA;p;trees <5 cm dbh, tool handle use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;434.3;126.2665039;3;437.4;43.55777772;2;0.021245441
142;4;CA;p;trees <5 cm dbh, dye and tannins use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;167.4;28.40563324;3;321.4;155.2806491;2;1.209466568
143;4;CA;p;trees <5 cm dbh, resins use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;154;37.41229744;3;154;53.74011537;2;0
144;4;CA;p;trees <5 cm dbh, box and crate use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;140.7;88.85420643;3;70.8;46.5276262;2;-0.657117274
145;4;CA;p;trees <5 cm dbh, charcoal use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;d;105.7;10.73871501;3;133.5;33.37544007;2;0.955020363
